City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name,Current Description
421,Mazara Del Vallo,IT,76.95,clear sky,37.6641,12.588,Vizier Resort & Spa,clear sky
422,San Francisco,US,89.46,few clouds,37.7749,-122.4194,Edwardian Hotel,few clouds
425,Daru,PG,75.34,overcast clouds,-9.0763,143.2092,Daru Lodge,overcast clouds
430,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió,scattered clouds
435,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin,overcast clouds
437,Ratnagiri,IN,79.75,overcast clouds,16.9833,73.3,Hotel Landmark,overcast clouds
443,Soria,ES,75.11,clear sky,41.6667,-2.6667,Casa Rural Sierra de Inodejo,clear sky
448,Bonthe,SL,76.14,moderate rain,7.5264,-12.505,Bonthe Holiday Village,moderate rain
451,Mahibadhoo,MV,83.17,clear sky,3.7833,72.9667,Omadhoo Inn,clear sky
452,Teahupoo,PF,75.16,overcast clouds,-17.8333,-149.2667,Vanira Lodge,overcast clouds
454,Monopoli,IT,78.71,clear sky,40.9559,17.2896,Il Melograno,clear sky
455,Pontianak,ID,76.98,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center,overcast clouds
459,Koutsouras,GR,78.12,clear sky,35.0339,25.9469,The White Houses,clear sky
465,Bouna,CI,75.07,overcast clouds,9.2667,-3.0,Hôtel lababa,overcast clouds
471,Korcula,HR,75.99,few clouds,42.9622,17.1369,Marko Polo Hotel by Aminess,few clouds
473,Rosarito,MX,82.63,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito,few clouds
475,Abu Samrah,SY,77.25,clear sky,35.3029,37.1841,,clear sky
477,Eureka,US,76.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham,broken clouds
481,Erenhot,CN,75.07,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel,overcast clouds
482,Sorochinsk,RU,76.57,overcast clouds,52.4338,53.1583,Hotel Skazka,overcast clouds
486,Tshikapa,CD,76.68,clear sky,-6.4167,20.8,Tatem beach,clear sky
490,Catuday,PH,79.79,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages,overcast clouds
493,Surt,LY,78.57,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت,clear sky
502,Qunduz,AF,83.59,clear sky,36.729,68.857,Spin Zar cotton company,clear sky
503,Finschhafen,PG,77.95,heavy intensity rain,-6.6024,147.8681,Cossam Guest House,heavy intensity rain
504,Shaunavon,CA,80.38,clear sky,49.6501,-108.4181,Bear's Den Lodge,clear sky
506,Cuyo,PH,82.8,scattered clouds,10.8525,121.0086,Francia Inn,scattered clouds
507,Ixtapa,MX,88.23,scattered clouds,20.7,-105.2,hotel la terminal,scattered clouds
508,Rach Gia,VN,80.47,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang,overcast clouds
527,Awjilah,LY,78.49,clear sky,29.1081,21.2869,المنزل,clear sky
529,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights,broken clouds
530,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort,light rain
533,Tecoanapa,MX,85.68,overcast clouds,16.5167,-98.75,Hotel Manglares,overcast clouds
535,Singaraja,ID,77.22,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort,scattered clouds
538,Aitape,PG,76.39,overcast clouds,-3.1374,142.3475,,overcast clouds
539,Dhuwaran,IN,80.85,moderate rain,22.2333,72.8,Amul parlour,moderate rain
541,Carbonia,IT,79.02,clear sky,39.1672,8.5222,Lu 'Hotel,clear sky
542,Regina,CA,82.38,few clouds,50.4501,-104.6178,Wingate by Wyndham Regina,few clouds
543,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel,scattered clouds
544,Sao Felix Do Xingu,BR,86.52,scattered clouds,-6.6447,-51.995,Rio Xingu Camping,scattered clouds
546,Tall Kayf,TR,83.59,clear sky,37.0833,41.0667,,clear sky
547,Pyapon,MM,76.03,light rain,16.2833,95.6833,Aung Naing Thu Motel,light rain
553,Riberalta,BO,89.8,broken clouds,-10.9833,-66.1,Hotel Colonial,broken clouds
554,Hobyo,SO,77.63,overcast clouds,5.3505,48.5268,Iftin hotel hobyo,overcast clouds
560,Portland,US,84.56,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown,few clouds
563,Shimoni,KE,75.02,light rain,-4.6476,39.3817,Shimoni Reef Lodge,light rain
566,Khromtau,KZ,80.89,overcast clouds,50.2503,58.4347,Придорожный сервис Кең Дала,overcast clouds
569,Ipora,BR,79.05,broken clouds,-16.4419,-51.1178,Oásis Motel,broken clouds
574,Harper,LR,75.2,broken clouds,4.375,-7.7169,Screensaver,broken clouds
581,Kaffrine,SN,88.48,overcast clouds,14.1059,-15.5508,Beuleup counda motel,overcast clouds
583,Shenjiamen,CN,77.36,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen,overcast clouds
586,Kure,JP,77.72,overcast clouds,34.2333,132.5667,Clayton Bay Hotel,overcast clouds
587,Ugoofaaru,MV,82.83,broken clouds,5.6667,73.0,Ungoofaaru Inn,broken clouds
588,Sinnamary,GF,79.81,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary,scattered clouds
590,Kulhudhuffushi,MV,82.02,light rain,6.6221,73.07,Haajy Guest House 1,light rain
594,Macau,MO,84.85,few clouds,22.2006,113.5461,Grand Emperor Hotel,few clouds
596,Kismayo,SO,75.81,light rain,-0.3582,42.5454,Agan-Hotel,light rain
599,Daule,EC,82.4,broken clouds,-1.865,-79.9792,Hospedaje viajero,broken clouds
600,Yarada,IN,82.72,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts,broken clouds
602,Rongcheng,CN,81.7,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel,overcast clouds
611,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa,overcast clouds
612,Dongying,CN,78.06,few clouds,37.4564,118.4856,Wanda Realm,few clouds
616,Mweka,CD,77.23,broken clouds,-4.85,21.5667,Guest House Boshab,broken clouds
621,Tortoli,IT,76.39,clear sky,39.9256,9.6572,Hotel La Bitta,clear sky
623,Shetpe,KZ,86.68,broken clouds,44.1667,52.1167,Rtsm Shetpe Analog,broken clouds
628,Picota,PE,88.29,scattered clouds,-6.9197,-76.3304,Hospedaje Vanessa,scattered clouds
633,Middle Island,US,85.64,scattered clouds,40.8843,-72.9373,Cathedral pines,scattered clouds
637,Sur,OM,89.89,broken clouds,22.5667,59.5289,Sur Plaza Hotel,broken clouds
639,Pemangkat,ID,77.25,overcast clouds,1.1667,108.9667,Ramah Kost KITA,overcast clouds
643,The Valley,AI,83.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort,scattered clouds
644,Tazmalt,DZ,76.48,clear sky,36.3868,4.3989,Hôtel Numédia,clear sky
647,Cartagena,CO,87.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena,scattered clouds
648,Palmer,US,84.54,scattered clouds,42.1584,-72.3287,Wedgewood Motel,scattered clouds
657,Invermere,CA,86.36,scattered clouds,50.5167,-116.0354,Copper Point Resort,scattered clouds
660,Sabla,NG,88.5,light rain,12.7525,4.7077,,light rain
661,Mazagao,BR,84.25,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras,broken clouds
662,Wehr,DE,75.88,clear sky,47.6298,7.9042,Hotel Restaurant Klosterhof,clear sky
663,Auch,FR,84.88,clear sky,43.65,0.5833,Hotel Le Domaine De Baulieu,clear sky
669,Nantucket,US,80.71,mist,41.2835,-70.0995,Jared Coffin House,mist
673,Hami,CN,75.67,clear sky,42.8,93.45,Laoyutang Resort,clear sky
674,Santa Marta,CO,83.88,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul,scattered clouds
675,Ati,TD,81.37,light rain,13.2154,18.3353,,light rain
677,Sabha,LY,83.1,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات,clear sky
678,Batticaloa,LK,80.76,overcast clouds,7.7102,81.6924,Grand Star Guest House,overcast clouds
679,Montalvo,EC,87.71,light rain,-1.8,-79.3333,Motel Los Laureles,light rain
681,Lata,PT,77.07,overcast clouds,40.1629,-8.3327,Casa Maquia,overcast clouds
682,Tari,NG,87.33,light rain,12.4086,4.4914,,light rain
683,Weymouth,US,87.67,scattered clouds,42.2209,-70.9398,Arbor Inn Motor Lodge,scattered clouds
