City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Jibuti,DJ,2022-07-13 20:34:27,11.5,42.5,89.31,40,75,6.6
201,Havoysund,NO,2022-07-13 20:34:27,70.9963,24.6622,59.23,91,100,4.32
202,Sao Filipe,CV,2022-07-13 20:33:11,14.8961,-24.4956,75.27,78,62,11.43
203,Baruun-Urt,MN,2022-07-13 20:30:35,46.6806,113.2792,59.65,59,3,5.12
204,Faya,SA,2022-07-13 20:34:12,18.3851,42.4509,64.51,57,98,4.88
205,Alexandria,EG,2022-07-13 20:33:54,31.2156,29.9553,76.96,65,40,17.27
206,Kavaratti,IN,2022-07-13 20:34:28,10.5669,72.642,81.18,81,100,21.77
207,Taraz,KZ,2022-07-13 20:33:09,42.9,71.3667,79.21,27,0,6.71
208,Viedma,AR,2022-07-13 20:34:28,-40.8135,-62.9967,48.31,34,100,3.33
209,Vostok,RU,2022-07-13 20:34:28,46.4856,135.8833,63.41,95,81,3.09
210,Durban,ZA,2022-07-13 20:34:29,-29.8579,31.0292,63.01,65,0,5.01
211,Qaanaaq,GL,2022-07-13 20:34:29,77.484,-69.3632,38.77,96,100,6.24
212,Ozernovskiy,RU,2022-07-13 20:34:29,51.5,156.5167,52.32,99,100,2.3
213,Sobolevo,RU,2022-07-13 20:34:30,54.4299,31.8996,53.67,97,100,5.61
214,Hutchinson,US,2022-07-13 20:31:04,38.0608,-97.9298,96.04,29,0,12.66
215,Yarada,IN,2022-07-13 20:34:30,17.65,83.2667,80.92,78,75,14.97
216,Dukat,RU,2022-07-13 20:34:31,62.55,155.55,72.95,54,0,17.09
217,Nemuro,JP,2022-07-13 20:34:32,43.3236,145.575,60.13,95,95,7.09
218,Kabo,CF,2022-07-13 20:34:32,7.6994,18.629,69.66,95,100,1.83
219,Port Elizabeth,ZA,2022-07-13 20:34:33,-33.918,25.5701,58.32,66,0,18.01
220,Beloha,MG,2022-07-13 20:34:33,-25.1667,45.05,62.89,84,0,5.35
221,Kosh-Agach,RU,2022-07-13 20:34:33,50.0,88.6667,48.06,64,94,4.79
222,Airai,TL,2022-07-13 20:34:34,-8.9266,125.4092,52.07,88,47,3.27
223,Werder,DE,2022-07-13 20:34:34,52.3787,12.934,78.91,39,99,9.73
224,Provideniya,RU,2022-07-13 20:33:07,64.3833,-173.3,51.91,82,100,13.42
225,Tchaourou,BJ,2022-07-13 20:34:35,8.8865,2.5975,72.3,94,97,3.83
226,Lethem,GY,2022-07-13 20:34:35,3.3803,-59.7968,82.4,76,100,6.49
227,Tucupita,VE,2022-07-13 20:34:35,9.0622,-62.051,81.27,78,55,5.64
228,Dongsheng,CN,2022-07-13 20:35:36,39.8161,109.9776,68.85,37,46,7.76
229,Lazaro Cardenas,MX,2022-07-13 20:35:36,17.9583,-102.2,82.98,70,100,3.91
230,Puerto Del Rosario,ES,2022-07-13 20:35:36,28.5004,-13.8627,74.95,64,20,13.8
231,Tecoanapa,MX,2022-07-13 20:35:37,16.5167,-98.75,85.15,68,100,7.2
232,Pullman,US,2022-07-13 20:35:37,46.7313,-117.1796,84.43,45,20,11.01
233,Camacha,PT,2022-07-13 20:35:37,33.0833,-16.3333,67.42,68,40,4.61
234,Brattleboro,US,2022-07-13 20:35:38,42.8509,-72.5579,87.28,47,55,3.0
235,Kualakapuas,ID,2022-07-13 20:35:38,-3.0091,114.3876,73.92,97,100,1.77
236,Hobyo,SO,2022-07-13 20:35:38,5.3505,48.5268,78.98,77,68,30.31
237,Halapitan,PH,2022-07-13 20:35:39,7.9175,125.33,69.46,97,21,0.85
238,Kpalime,TG,2022-07-13 20:35:39,6.9,0.6333,71.47,97,89,4.16
239,Marsh Harbour,BS,2022-07-13 20:35:39,26.5412,-77.0636,84.72,71,91,12.5
240,Dakar,SN,2022-07-13 20:35:40,14.6937,-17.4441,79.68,78,91,11.48
241,Mareeba,AU,2022-07-13 20:35:29,-17.0,145.4333,49.44,65,4,2.8
242,Nadym,RU,2022-07-13 20:35:40,65.5333,72.5167,58.28,52,100,14.63
243,Ostrovnoy,RU,2022-07-13 20:35:41,68.0531,39.5131,62.49,91,81,6.71
244,Hay River,CA,2022-07-13 20:35:41,60.8156,-115.7999,71.58,30,75,6.91
245,Vuktyl,RU,2022-07-13 20:35:41,63.8567,57.3094,67.78,71,1,4.92
246,Bang Saphan,TH,2022-07-13 20:35:41,11.2126,99.5117,74.46,90,100,5.1
247,Ternate,ID,2022-07-13 20:35:42,0.8,127.4,79.63,81,96,2.84
248,Itarema,BR,2022-07-13 20:35:42,-2.9248,-39.9167,79.56,81,62,17.83
249,Revelstoke,CA,2022-07-13 20:31:59,50.9832,-118.2023,82.42,24,0,9.22
250,Shakawe,BW,2022-07-13 20:35:43,-18.3667,21.85,58.71,39,0,3.89
251,Arraial Do Cabo,BR,2022-07-13 20:35:43,-22.9661,-42.0278,73.26,83,40,9.22
